test,predict
3.546444444,3.6695192
3.666222222,3.6363916
3.271777778,3.6170785
3.419888889,3.6527162
3.2675555560000005,3.4250097
3.297333333,3.596286
3.220222222,3.7399244
3.066444444,3.5515528
3.261555556,3.2302666
3.442888889,3.2860582
3.465555556,3.347648
3.334333333,3.28597
3.401333333,3.150171
3.192333333,3.167063
3.067,3.0709064
2.997222222,2.9274569
2.784222222,2.95235
2.89,2.9542694
2.818777778,3.1169734
2.868555556,3.0684886
2.731222222,3.1325412
2.762777778,3.1062522
2.698666667,3.0343559
